source_ko,target_en,predicted_en,BERTScore_F1,BERTScore_P,BERTScore_R,BLEU
토론에 참여한 사람들은 법 집행과 국가 안전보장에 대한 우려를 표명해야 할 필요성을 진지하게 받아 들이고 있습니다.,Those involved in the discussions do take seriously the need to address concerns of law enforcement and national security.,"people who are better citizens, there are other ways to stay in the closet, and the national emergency management told cnn on.",0.07078319042921066,-0.029440054669976234,0.17202606797218323,4.1202784939919095
"또한 새로운 기술 개발이 어떤 해결책을 제공해 주는데 도움이 될 것이고, 동시 에 통신망 사용자들이 보다 안전하게 통신을 할 수 있도록 도움을 주게 되리라는 희망도 있습니다.",There is also some hope that new technology developments will help to provide some solutions and at the same time helping to make users of the networks more secure in their communications.,"new development plans to replace developing technologies can safely available, this is safely available to safety of web.",0.14047440886497498,0.15761570632457733,0.12067236006259918,1.5643183872053077
"그래서 클리퍼 칩에 대한 개인적인 해결책은 서서히 자취를 감출 것입니다. 그러나 이 문제는 계속 우리 곁에 존재할 것이며, 당분간은 심각한 상태로 존재할 것입니다.","So the individual solution of the clipper chip may fade from sight, but the questions will be with us and will remain serious for some time.","to keep their citizens and keeping all their spending, we are expecting about the idea that we don t think, and we are that we are going to expect",-0.09319237619638443,-0.21761967241764069,0.03421151265501976,1.5784309053930103
이탈리아의 천문학자들이 멀리에 있는 별들의 궤도를 도는 행성의 대기에서 생명체의 필수 요소인 물이 존재한다는 징후를 발견했다.,"Italian astronomers have found signs of water, a necessary ingredient for life, in the atmosphere of planets orbiting distant stars.","their merces system, astronomers believe they are found that the body of the body was found in a earth on the planet s surface.",0.12658314406871796,0.10561636835336685,0.14485791325569153,2.4294859658214887
"물이 있다는 것이 다른 행성에 생명체들이 가득하다는 것을 의미하지는 않지만, 이번 발견이 확인된다면 그런 일이 가능할 수 있다는 추측을 증폭시키게 될 것이다.",Having water does not mean other planets will be teeming with life but if the discovery is confirmed it will fuel speculation that it could be possible.,"these are not in effect, but this is the most extreme condition of any if it is still, if confirmed that it is still too far that is if they",-0.027278229594230652,-0.05465953052043915,-0.0029705772176384926,3.3789393726223773
"그들은 수분에서 방출되는 전자파를 찾기 위해 32미터짜리 전파 망원경을 사용했는데, 이는 이 전자파가 그 별의 적외선에 포함되어 있게 되면 행성의 대기에 물이 있다는 것을 나타내 주게 되는 예고적 성격의 극초단파이다.","They used a 32-meter radio telescope to search for water maser emissions, which could indicate water in a planet's atmosphere when it is bathed in the infrared light of its star.","the plant produces a laptop computer contract, which will have a sensor to the west bank, where the plants made it, which normally plants a laptop through paris and that",-0.06519122421741486,-0.029545824974775314,-0.10373532772064209,2.8916412995098115
"3,000마리의 전갈과 32일 동안 동거할 태국 여인 전갈 3,000마리가 모두 당신의 방에 있다면, 그것은 악몽일 것이다.","When there are 3,000 of scorpions and they're all in your room, it's the stuff of nightmares.","when you stopped, they were in the same day that you are,, and, toys, according to thailand, if they are in",-0.014957468956708908,-0.04763548821210861,0.014810439199209213,2.075273865705644
전갈로 가득찬 방에서 가장 오래 머물러 있기에 대한 세계 기록을 깨고 싶어 하는 30세의 태국 여인 칸차나 케트키우는 앞으로 32일 동안 맹독을 지닌 동거자들과 함께 잠을 잘 때에 잠들지 못하는 일은 없을 것이라고 자신한다.,"hoping to break the world record for the longest stay in a room full of scorpions, she won't lose any sleep with her deadly roommates.","the world s biggest weatherure, is in a room at the world, longest hopes to strand the world s poorest countries to go out thailand, but the",-0.0570441335439682,-0.12400919198989868,0.008267953060567379,6.730900646889454
석유 거래상들이 고조되고 있는 미국의 이라크 공격 가능성을 고려함에따라 전쟁 열기가 미국의 유가를 19개월 만에 최고치로 밀어 올렸다.,War fever drove U.S. oil prices to a new 19-month high as dealers factored in the growing prospect of a U.S. assault on Iraq.,"as they s a victory over the next two months of a u. s. s victory over the war, said victory, a u.",0.014642801135778427,-0.06049072742462158,0.08881452679634094,3.159283693557876
(컴퓨터에 의한) 전자 거래에서 미국의 원유 선물 가격이 배럴 당 30.48달러로 최고치를 기록한 이후에 30.45달러로 61센트 급등했다.,jumped 61 cents to $30.45 a barrel after setting a high of $30.48.,"the lack of a new low, used fuel oil is either a total of,, gallons of gasoline and a half gallon of gasoline.",-0.1735745221376419,-0.16440449655056,-0.1865117847919464,1.9626728448746968
